codigo;descripcion;descripcion_en;clasificacion
QX 24;Laboratorios individuales, academias, institutos, etc.;Individual laboratories, academies, institutes, etc.;Parasitología. Vectores de enfermedades
QX 25;Manuales de laboratorio. Técnica;Laboratory manuals. Technique;Parasitología. Vectores de enfermedades
QX 26;Equipos y suministros;Equipment and supplies;Parasitología. Vectores de enfermedades
QX 26.5;Informática. Procesamiento electrónico de datos. Informática (General);Informatics. Electronic data processing. Computers (General);Parasitología. Vectores de enfermedades
QX 27;Museos colectivos, exposiciones, etc.;Collective museums, exhibitions, etc.;Parasitología. Vectores de enfermedades
QX 28;Museos individuales, exposiciones, etc.;Individual museums, exhibitions, etc.;Parasitología. Vectores de enfermedades
QX 32;Leyes;Laws;Parasitología. Vectores de enfermedades
QX 32.1;Cobertura general;General coverage;Parasitología. Vectores de enfermedades
QX 33;Discusión de derecho;Discussion of law;Parasitología. Vectores de enfermedades
QX 33.1;Cobertura general;General coverage;Parasitología. Vectores de enfermedades
QX 39;Manuales. Guías de recursos;Handbooks. Resource guides;Parasitología. Vectores de enfermedades
QX 45;Interacciones huésped-parásito;Host-parasite interactions;Parasitología. Vectores de enfermedades
QX 47;Transmisión de enfermedades. Vectores de enfermedades (generales o no clasificadas en otra parte);Disease transmission. Disease vectors (General or not elsewhere classified);Parasitología. Vectores de enfermedades
[QX 50];[Este número no se utiliza];[This number not used];Parasitología. Vectores de enfermedades
[QX 55];[Este número no se utiliza];[This number not used];Parasitología. Vectores de enfermedades
[QX 70];[Este número no se utiliza];[This number not used];Parasitología. Vectores de enfermedades
[QX 123];[Este número no se utiliza];[This number not used];Parasitología. Vectores de enfermedades
[QX 135];[Este número no se utiliza];[This number not used];Parasitología. Vectores de enfermedades
[QX 140];[Este número no se utiliza];[This number not used];Parasitología. Vectores de enfermedades
[QX 151];[Este número no se utiliza];[This number not used];Parasitología. Vectores de enfermedades
[QX 190];[Este número no se utiliza];[This number not used];Parasitología. Vectores de enfermedades
[QX 195];[Este número no se utiliza];[This number not used];Parasitología. Vectores de enfermedades
QX 199;Invertebrados (generales o no clasificados en otra parte);Invertebrates (General or not elsewhere classified);Parasitología. Vectores de enfermedades
QX 200;Helmintos;Helminths;Parasitología. Vectores de enfermedades
QX 203;Nematodos;Nematoda;Parasitología. Vectores de enfermedades
[QX 207];[Este número no se utiliza];[This number not used];Parasitología. Vectores de enfermedades
QX 243;Strongylida;Strongylida;Parasitología. Vectores de enfermedades
[QX 248];[Este número no se utiliza];[This number not used];Parasitología. Vectores de enfermedades
[QX 271];[Este número no se utiliza];[This number not used];Parasitología. Vectores de enfermedades
QX 277;Ascaridoidea;Ascaridoidea;Parasitología. Vectores de enfermedades
QX 301;Filarioidea;Filarioidea;Parasitología. Vectores de enfermedades
QX 350;Platelmintos;Platyhelminths;Parasitología. Vectores de enfermedades
QX 352;Turbelarios;Turbellaria;Parasitología. Vectores de enfermedades
QX 353;Trematodos;Trematoda;Parasitología. Vectores de enfermedades
QX 355;Esquistosoma;Schistosoma;Parasitología. Vectores de enfermedades
QX 365;Fasciola;Fasciola;Parasitología. Vectores de enfermedades
QX 400;Cestodos;Cestoda;Parasitología. Vectores de enfermedades
QX 442;Equinococo;Echinococcus;Parasitología. Vectores de enfermedades
QX 451;Sanguijuelas;Leeches;Parasitología. Vectores de enfermedades
QX 460;Artrópodos. Vectores artrópodos (generales o no clasificados en otra parte);Arthropods. Arthropod vectors (General or not elsewhere classified);Parasitología. Vectores de enfermedades
QX 463;Crustáceos;Crustacea;Parasitología. Vectores de enfermedades
[QX 465];[Este número no se utiliza];[This number not used];Parasitología. Vectores de enfermedades
QX 467;Arácnidos. Vectores arácnidos (generales o no clasificados en otra parte);Arachnida. Arachnid vectors (General or not elsewhere classified);Parasitología. Vectores de enfermedades
[QX 469];[Este número no se utiliza];[This number not used];Parasitología. Vectores de enfermedades
[QX 471];[Este número no se utiliza];[This number not used];Parasitología. Vectores de enfermedades
QX 473;Acari;Acari;Parasitología. Vectores de enfermedades
QX 475;Ácaros;Mites;Parasitología. Vectores de enfermedades
QX 479;Garrapatas;Ticks;Parasitología. Vectores de enfermedades
[QX 483];[Este número no se utiliza];[This number not used];Parasitología. Vectores de enfermedades
QX 500;Insectos. Insectos vectores (generales o no clasificados en otra parte);Insecta. Insect vectors (General or not elsewhere classified);Parasitología. Vectores de enfermedades
QX 501;Phthiraptera;Phthiraptera;Parasitología. Vectores de enfermedades
QX 502;Anoplura;Anoplura;Parasitología. Vectores de enfermedades
QX 503;Hemípteros;Hemiptera;Parasitología. Vectores de enfermedades
QX 505;Dípteros;Diptera;Parasitología. Vectores de enfermedades
QX 510;Culicidae. Mosquitos vectores;Culicidae. Mosquito vectors;Parasitología. Vectores de enfermedades
QX 515;Anofeles;Anopheles;Parasitología. Vectores de enfermedades
QX 525;Aedes;Aedes;Parasitología. Vectores de enfermedades
QX 530;Culex;Culex;Parasitología. Vectores de enfermedades
QX 550;Sifonápteros;Siphonaptera;Parasitología. Vectores de enfermedades
QX 555;Coleópteros;Coleoptera;Parasitología. Vectores de enfermedades
QX 560;Lepidópteros;Lepidoptera;Parasitología. Vectores de enfermedades
QX 565;Himenópteros;Hymenoptera;Parasitología. Vectores de enfermedades
QX 570;Cucarachas;Cockroaches;Parasitología. Vectores de enfermedades
QX 600;Control de artrópodos;Arthropod control;Parasitología. Vectores de enfermedades
[QX 650];[Este número no se utiliza];[This number not used];Parasitología. Vectores de enfermedades
QX 675;Moluscos;Mollusca;Parasitología. Vectores de enfermedades
QX 700;Chordata (general o no clasificado en otra parte);Chordata (General or not elsewhere classified);Parasitología. Vectores de enfermedades
QX 710;Aves;Birds;Parasitología. Vectores de enfermedades
QX 720;Mamíferos (generales o no clasificados en otra parte);Mammals (General or not elsewhere classified);Parasitología. Vectores de enfermedades
QX 725;Artiodáctilos;Artiodactyla;Parasitología. Vectores de enfermedades
QX 730;Carnívoros;Carnivora;Parasitología. Vectores de enfermedades
QX 735;Roedores;Rodentia;Parasitología. Vectores de enfermedades
QY 1;Organizaciones. Sociedades (generales o no clasificadas en otra parte);Organizations. Societies (General or not elsewhere classified);Patología de Laboratorio Clínico
QY 4;Obras generales;General works;Patología de Laboratorio Clínico
QY 5;Obras recopiladas de varios autores;Collected works by several authors;Patología de Laboratorio Clínico
QY 7;Obras recopiladas de autores individuales;Collected works by individual authors;Patología de Laboratorio Clínico
QY 9;Discursos. Ensayos. Conferencias.;Addresses. Essays. Lectures;Patología de Laboratorio Clínico
QY 11;Historia;History;Patología de Laboratorio Clínico
QY 11.1;Cobertura general;General coverage;Patología de Laboratorio Clínico
QY 13;Diccionarios. Enciclopedias;Dictionaries. Encyclopedias;Patología de Laboratorio Clínico
QY 15;Clasificación. Terminología;Classification. Terminology;Patología de Laboratorio Clínico
QY 16;Tablas. Estadísticas. Encuestas;Tables. Statistics. Surveys;Patología de Laboratorio Clínico
QY 16.1;Cobertura general;General coverage;Patología de Laboratorio Clínico
QY 17;Atlas. Obras pictóricas;Atlases. Pictorial works;Patología de Laboratorio Clínico
QY 18;Educación;Education;Patología de Laboratorio Clínico
QY 18.2;Materiales educativos;Educational materials;Patología de Laboratorio Clínico
[QY 19];[Este número no se utiliza];[This number not used];Patología de Laboratorio Clínico
QY 20;Investigación (General);Research (General);Patología de Laboratorio Clínico
QY 21;La ciencia del laboratorio clínico como profesión. Ética. Revisión por pares.;Clinical laboratory science as a profession. Ethics. Peer review;Patología de Laboratorio Clínico
QY 22;[Directorios. Usar QZ 22];[Directories. Use QZ 22];Patología de Laboratorio Clínico
QY 22.1;Directorios de ciencias de laboratorio clínico;Directories of clinical laboratory science;Patología de Laboratorio Clínico
QY 23;Laboratorios colectivos, academias, institutos, etc.;Collective laboratories, academies, institutes, etc.;Patología de Laboratorio Clínico
QY 24;Laboratorios individuales, academias, institutos, etc.;Individual laboratories, academies, institutes, etc.;Patología de Laboratorio Clínico
QY 25;Manuales de laboratorio (General);Laboratory manuals (General);Patología de Laboratorio Clínico
QY 26;Equipos y suministros;Equipment and supplies;Patología de Laboratorio Clínico
QY 26.5;Informática. Procesamiento electrónico de datos. Informática (General);Informatics. Electronic data processing. Computers (General);Patología de Laboratorio Clínico
QY 27;Museos colectivos, exposiciones, etc.;Collective museums, exhibitions, etc.;Patología de Laboratorio Clínico
QY 28;Museos individuales, exposiciones, etc.;Individual museums, exhibitions, etc.;Patología de Laboratorio Clínico
QY 32;Leyes;Laws;Patología de Laboratorio Clínico
QY 32.1;Cobertura general;General coverage;Patología de Laboratorio Clínico
QY 33;Discusión de derecho;Discussion of law;Patología de Laboratorio Clínico
QY 33.1;Cobertura general;General coverage;Patología de Laboratorio Clínico
[QY 35];[Este número no se utiliza];[This number not used];Patología de Laboratorio Clínico
QY 39;Manuales. Guías de recursos;Handbooks. Resource guides;Patología de Laboratorio Clínico
QY 50;Animales de laboratorio (generales o no clasificados en otra parte);Laboratory animals (General or not elsewhere classified);Patología de Laboratorio Clínico
QY 52;Adquisición y transporte;Acquisition and transportation;Patología de Laboratorio Clínico
QY 54;Cuidado y crianza;Care and breeding;Patología de Laboratorio Clínico
QY 56;Ambiente;Environment;Patología de Laboratorio Clínico
QY 58;Técnicas experimentales;Experimental techniques;Patología de Laboratorio Clínico
QY 60;Clases especiales de animales, A-Z;Special classes of animals, A-Z;Patología de Laboratorio Clínico
QY 60.A6;Anfibios;Amphibians;Patología de Laboratorio Clínico
QY 60.B4;Aves;Birds;Patología de Laboratorio Clínico
QY 60.C2;Gatos;Cats;Patología de Laboratorio Clínico
QY 60.D6;Perros;Dogs;Patología de Laboratorio Clínico
QY 60.F4;Peces;Fishes;Patología de Laboratorio Clínico
QY 60.I5;Insectos;Insects;Patología de Laboratorio Clínico
QY 60.L3;Lagomorfos (conejos, etc.);Lagomorpha (Rabbits, etc.);Patología de Laboratorio Clínico
QY 60.M2;Mamíferos (generales o no clasificados en otra parte);Mammals (General or not elsewhere classified);Patología de Laboratorio Clínico
QY 60.M6;Moluscos;Mollusca;Patología de Laboratorio Clínico
QY 60.P7;Primates;Primates;Patología de Laboratorio Clínico
QY 60.R6;roedores;Rodents;Patología de Laboratorio Clínico
QY 60.S8;Cerdo;Swine;Patología de Laboratorio Clínico
QY 70;Servicios de laboratorio clínico;Clinical laboratory services;Patología de Laboratorio Clínico
QY 75;Seguridad en el laboratorio;Laboratory safety;Patología de Laboratorio Clínico
QY 80;Técnicas de laboratorio clínico (General);Clinical laboratory techniques (General);Patología de Laboratorio Clínico
QY 90;Técnicas químicas;Chemical techniques;Patología de Laboratorio Clínico
QY 95;Técnicas citológicas;Cytological techniques;Patología de Laboratorio Clínico
QY 100;Técnicas microbiológicas;Microbiological techniques;Patología de Laboratorio Clínico
QY 102;Técnicas de diagnóstico molecular (General);Molecular diagnostic techniques (General);Patología de Laboratorio Clínico
[QY 105];[Este número no se utiliza];[This number not used];Patología de Laboratorio Clínico
QY 110;Técnicas micológicas;Mycological techniques;Patología de Laboratorio Clínico
QY 118;Manejo de muestras (general);Specimen handling (General);Patología de Laboratorio Clínico
QY 120;Cultivo de esputo;Sputum culture;Patología de Laboratorio Clínico
QY 125;Pruebas de saliva;Saliva tests;Patología de Laboratorio Clínico
QY 130;Análisis gástrico;Gastric analysis;Patología de Laboratorio Clínico
QY 140;Pruebas de función hepática. Pruebas de función pancreática.;Liver function tests. Pancreatic function tests;Patología de Laboratorio Clínico
[QY 143];[Este número no se utiliza];[This number not used];Patología de Laboratorio Clínico
[QY 147];[Este número no se utiliza];[This number not used];Patología de Laboratorio Clínico
QY 160;Análisis de heces;Stool analysis;Patología de Laboratorio Clínico
QY 175;Pruebas de función renal;Kidney function tests;Patología de Laboratorio Clínico
QY 185;Análisis de orina;Urinalysis;Patología de Laboratorio Clínico
QY 190;Análisis de semen;Semen analysis;Patología de Laboratorio Clínico
QY 210;Análisis de líquido seroso;Serous fluid analysis;Patología de Laboratorio Clínico
QY 220;Análisis del líquido cefalorraquídeo;Cerebrospinal fluid analysis;Patología de Laboratorio Clínico
QY 230;Análisis del cabello;Hair analysis;Patología de Laboratorio Clínico
QY 250;Pruebas de inmunodiagnóstico;Immunodiagnostic tests;Patología de Laboratorio Clínico
QY 260;Pruebas cutáneas diagnósticas;Diagnostic skin tests;Patología de Laboratorio Clínico
QY 265;Pruebas serológicas (generales);Serologic tests (General);Patología de Laboratorio Clínico
[QY 275];[Este número no se utiliza];[This number not used];Patología de Laboratorio Clínico
QY 330;Ensayo de hormonas;Assay of hormones;Patología de Laboratorio Clínico
QY 335;Pruebas de embarazo;Pregnancy tests;Patología de Laboratorio Clínico
QY 350;Ensayo de vitaminas;Assay of vitamins;Patología de Laboratorio Clínico
QY 400;Pruebas hematológicas (generales);Hematologic tests (General);Patología de Laboratorio Clínico
QY 402;Elementos celulares;Cellular elements;Patología de Laboratorio Clínico
QY 408;Examen físico;Physical examination;Patología de Laboratorio Clínico
QY 410;Coagulación;Coagulation;Patología de Laboratorio Clínico
QY 415;tipificación sanguínea;Blood typing;Patología de Laboratorio Clínico
QY 450;Análisis químico de la sangre;Blood chemical analysis;Patología de Laboratorio Clínico
QY 455;Constituyentes nitrogenados;Nitrogenous constituents;Patología de Laboratorio Clínico
QY 465;Lípidos;Lipids;Patología de Laboratorio Clínico
QY 470;Glucemia;Blood glucose;Patología de Laboratorio Clínico
QY 480;Sustancias inorgánicas;Inorganic substances;Patología de Laboratorio Clínico
[QY 485];[Este número no se utiliza];[This number not used];Patología de Laboratorio Clínico
QY 490;Enzimas;Enzymes;Patología de Laboratorio Clínico
QZ 1;Organizaciones. Sociedades (generales o no clasificadas en otra parte);Organizations. Societies (General or not elsewhere classified);Patología
QZ 4;Obras generales;General works;Patología
QZ 5;Obras recopiladas de varios autores;Collected works by several authors;Patología
QZ 7;Obras recopiladas de autores individuales;Collected works by individual authors;Patología
QZ 9;Discursos. Ensayos. Conferencias.;Addresses. Essays. Lectures;Patología
QZ 11;Historia;History;Patología
QZ 11.1;Cobertura general;General coverage;Patología
QZ 11.5;Paleopatología;Paleopathology;Patología
QZ 13;Diccionarios. Enciclopedias;Dictionaries. Encyclopedias;Patología
QZ 15;Clasificación. Terminología;Classification. Terminology;Patología
QZ 16;Tablas. Estadísticas. Encuestas;Tables. Statistics. Surveys;Patología
QZ 16.1;Cobertura general;General coverage;Patología
QZ 17;Atlas. Obras pictóricas;Atlases. Pictorial works;Patología
QZ 18;Educación;Education;Patología
QZ 18.2;Materiales educativos;Educational materials;Patología
QZ 19;Escuelas, departamentos y facultades de patología;Schools, departments, and faculties of pathology;Patología
QZ 19.1;Cobertura general;General coverage;Patología
QZ 20.5;Investigación (General);Research (General);Patología
QZ 21;Patología y oncología como profesiones. Ética. Revisión por pares.;Pathology and oncology as professions. Ethics. Peer review;Patología
QZ 22;Directorios;Directories;Patología
QZ 22.1;Cobertura general;General coverage;Patología
QZ 23;Laboratorios colectivos, academias, institutos, etc. Centros de atención oncológica. Hospitales de enfermedades crónicas.;Collective laboratories, academies, institutes, etc. Cancer care facilities. Chronic disease hospitals;Patología
QZ 24;Laboratorios, academias, institutos, etc. Centros de atención oncológica. Hospitales de enfermedades crónicas.;Individual laboratories, academies, institutes, etc. Cancer care facilities. Chronic disease hospitals;Patología
QZ 25;Manuales de laboratorio. Técnica;Laboratory manuals. Technique;Patología
QZ 26;Equipos y suministros;Equipment and supplies;Patología
QZ 26.5;Informática. Procesamiento electrónico de datos. Informática (General);Informatics. Electronic data processing. Computers (General);Patología
QZ 27;Museos colectivos, exposiciones, etc.;Collective museums, exhibitions, etc.;Patología
QZ 28;Museos individuales, exposiciones, etc.;Individual museums, exhibitions, etc.;Patología
QZ 32;Leyes;Laws;Patología
QZ 32.1;Cobertura general;General coverage;Patología
QZ 32.3;Discusión de derecho;Discussion of law;Patología
QZ 32.4;Cobertura general;General coverage;Patología
QZ 33;Patología comparada;Comparative pathology;Patología
QZ 35;Examen post mortem;Postmortem examination;Patología
QZ 39;Manuales. Guías de recursos;Handbooks. Resource guides;Patología
QZ 40;Patogenia. Etiología;Pathogenesis. Etiology;Patología
QZ 42;Enfermedad iatrogénica (general). Errores de medicación.;Iatrogenic disease (General). Medication errors;Patología
[QZ 45];[Este número no se utiliza];[This number not used];Patología
QZ 50;Causas genéticas de las enfermedades;Genetic causes of disease;Patología
QZ 52;Servicios genéticos;Genetic services;Patología
QZ 53;Factores de edad. Factores de sexo.;Age factors. Sex factors;Patología
[QZ 55];[Este número no se utiliza];[This number not used];Patología
[QZ 57];[Este número no se utiliza];[This number not used];Patología
QZ 59;Agentes químicos (general);Chemical agents (General);Patología
[QZ 65];[Este número no se utiliza];[This number not used];Patología
[QZ 85];[Este número no se utiliza];[This number not used];Patología
QZ 105;La dieta como causa de enfermedad (General);Diet as a cause of disease (General);Patología
[QZ 109];[Este número no se utiliza];[This number not used];Patología
QZ 140;Procesos patológicos (General);Pathologic processes (General);Patología
QZ 145;Hemorragia;Hemorrhage;Patología
QZ 146;Síndrome (general o no clasificado en otra parte);Syndrome (General or not elsewhere classified);Patología
QZ 150;Inflamación;Inflammation;Patología
QZ 160;estrés fisiológico;Physiological stress;Patología
QZ 170;Trastornos circulatorios;Circulatory disorders;Patología
QZ 180;Procesos degenerativos. Fragilidad.;Degenerative processes. Frailty;Patología
QZ 185;Enfermedades crónicas. Enfermedades no transmisibles.;Chronic disease. Noncommunicable diseases;Patología
[QZ 190];[Este número no se utiliza];[This number not used];Patología
QZ 192;Enfermedades del tejido conectivo (Obras generales o no clasificadas en otra parte);Connective tissue diseases (General works or not elsewhere classified);Patología
QZ 194;Lupus eritematoso sistémico;Systemic lupus erythematosus;Patología
QZ 196;Enfermedades del colágeno (generales o no clasificadas en otra parte);Collagen diseases (General or not elsewhere classified);Patología
QZ 200;Neoplasias (General);Neoplasms (General);Patología
QZ 201;Obras populares;Popular works;Patología
QZ 202;Etiología;Etiology;Patología
QZ 203;Procesos neoplásicos;Neoplastic processes;Patología
QZ 204;Afecciones precancerosas. Infecciones virales tumorales.;Precancerous conditions. Tumor virus infections;Patología
QZ 206;Investigación (General). Neoplasias experimentales;Research (General). Experimental neoplasms;Patología
QZ 210;Aspectos genéticos;Genetic aspects;Patología
QZ 220;Epidemiología;Epidemiology;Patología
QZ 220.1;Cobertura general;General coverage;Patología
QZ 241;Diagnóstico. Métodos de diagnóstico;Diagnosis. Diagnostic methods;Patología
QZ 250;Prevención y control;Prevention and control;Patología
QZ 260;Aspectos psicosociales;Psychosocial aspects;Patología
QZ 266;Terapia;Therapy;Patología
QZ 267;Terapia farmacológica;Drug therapy;Patología
QZ 268;Técnicas quirúrgicas;Surgical techniques;Patología
QZ 269;Radioterapia;Radiotherapy;Patología
QZ 270;Terapia de modalidad combinada;Combined modality therapy;Patología
QZ 271;Oncoanestesia;Onco-anesthesia;Patología
QZ 275;Oncología pediátrica. Oncología adolescente (general);Pediatric oncology. Adolescent oncology (General);Patología
QZ 310;Complejo y mixto. Célula germinal y embrionaria.;Complex and mixed. Germ cell and embryonal;Patología
[QZ 320];[Este número no se utiliza];[This number not used];Patología
[QZ 330];[Este número no se utiliza];[This number not used];Patología
QZ 340;Tejidos conectivos, musculares y vasculares;Connective, muscle, and vascular tissues;Patología
QZ 345;Sarcoma;Sarcoma;Patología
[QZ 350];[Este número no se utiliza];[This number not used];Patología
QZ 360;Melanoma (general o no clasificado en otra parte);Melanoma (General or not elsewhere classified);Patología
QZ 365;Tejido glandular y epitelial. Carcinoma (general o no clasificado en otra parte);Glandular and epithelial tissue. Carcinoma (General or not elsewhere classified);Patología
QZ 380;tejido nervioso;Nerve tissue;Patología
W 1;Publicaciones seriadas. Publicaciones periódicas;Serials. Periodicals;Medicina general. Profesiones de la salud
W 2;Documentos en serie;Serial documents;Medicina general. Profesiones de la salud
W 3;Congresos;Congresses;Medicina general. Profesiones de la salud
W 3.5;Directorios de congresos;Directories of congresses;Medicina general. Profesiones de la salud
W 4;Disertaciones sobre investigación clínica por universidad;Dissertations on clinical research by university;Medicina general. Profesiones de la salud
W 4A;Disertaciones americanas sobre investigación clínica, por autor;American dissertations on clinical research, by author;Medicina general. Profesiones de la salud
W 5;Colecciones de varios autores;Collections by several authors;Medicina general. Profesiones de la salud
W 6;Volúmenes recopilados de panfletos. Volúmenes de reimpresiones diversas.;Collected pamphlet volumes. Miscellaneous reprint volumes;Medicina general. Profesiones de la salud
W 7;Obras recopiladas de autores individuales;Collected works by individual authors;Medicina general. Profesiones de la salud
W 9;Discursos. Ensayos. Conferencias.;Addresses. Essays. Lectures;Medicina general. Profesiones de la salud
W 10;Viajes (incluidas expediciones y travesías);Travels (including expeditions and voyages);Medicina general. Profesiones de la salud
[W 11];[Este número no se utiliza];[This number not used];Medicina general. Profesiones de la salud
W 13;Diccionarios. Enciclopedias;Dictionaries. Encyclopedias;Medicina general. Profesiones de la salud
W 15;Terminología;Terminology;Medicina general. Profesiones de la salud
W 16;Tablas. Estadísticas;Tables. Statistics;Medicina general. Profesiones de la salud
W 16.1;Cobertura general;General coverage;Medicina general. Profesiones de la salud
W 17;Atlas. Obras pictóricas;Atlases. Pictorial works;Medicina general. Profesiones de la salud
W 18;Educación;Education;Medicina general. Profesiones de la salud
W 18.2;Materiales educativos;Educational materials;Medicina general. Profesiones de la salud
W 19;Escuelas y colegios (generales o no clasificados en otra parte);Schools and colleges (General or not elsewhere classified);Medicina general. Profesiones de la salud
W 19.1;Cobertura general;General coverage;Medicina general. Profesiones de la salud
W 19.5;Catálogos escolares, anuncios, etc.;School catalogs, announcements, etc.;Medicina general. Profesiones de la salud
W 20;Educación médica de posgrado y continua (incluyendo becas, pasantías, residencias, etc.);Graduate and continuing medical education (including fellowships, internships, residencies, etc.);Medicina general. Profesiones de la salud
W 20.5;Investigación biomédica (general);Biomedical research (General);Medicina general. Profesiones de la salud
W 20.55;Temas especiales, A-Z;Special topics, A-Z;Medicina general. Profesiones de la salud
W 20.55.A5;Experimentación animal. Alternativas a la experimentación animal.;Animal experimentation. Animal testing alternatives;Medicina general. Profesiones de la salud
W 20.55.A9;Autoexperimentación;Autoexperimentation;Medicina general. Profesiones de la salud
W 20.55.C5;Ensayos clínicos;Clinical trials;Medicina general. Profesiones de la salud
W 20.55.D5;Difusión de la innovación;Diffusion of innovation;Medicina general. Profesiones de la salud
W 20.55.E7;Ética en la investigación;Ethics in research;Medicina general. Profesiones de la salud
W 20.55.F4;Investigación fetal;Fetal research;Medicina general. Profesiones de la salud
W 20.55.H9;Experimentación humana. Sujetos de investigación;Human experimentation. Research subjects;Medicina general. Profesiones de la salud
W 20.55.O6;Investigación de operaciones;Operations research;Medicina general. Profesiones de la salud
W 20.55.T7;Investigación biomédica traslacional;Translational biomedical research;Medicina general. Profesiones de la salud
W 20.9;Fraternidades;Fraternities;Medicina general. Profesiones de la salud
W 21;Medicina o investigación biomédica como profesión. Revisión por pares.;Medicine or biomedical research as a profession. Peer review;Medicina general. Profesiones de la salud
W 21.5;Personal sanitario aliado. Ocupaciones sanitarias aliadas.;Allied health personnel. Allied health occupations;Medicina general. Profesiones de la salud
W 22;Directorios;Directories;Medicina general. Profesiones de la salud
W 22.1;Cobertura general;General coverage;Medicina general. Profesiones de la salud
W 23;Laboratorios colectivos, academias, institutos, etc.;Collective laboratories, academies, institutes, etc.;Medicina general. Profesiones de la salud
W 24;Laboratorios individuales, academias, institutos, etc.;Individual laboratories, academies, institutes, etc.;Medicina general. Profesiones de la salud
W 26;Equipos y suministros;Equipment and supplies;Medicina general. Profesiones de la salud
W 26.5;Informática médica. Metodologías informáticas. Tecnologías de la información.;Medical informatics. Computing methodologies. Information Technology;Medicina general. Profesiones de la salud
W 26.55;Temas especiales, A-Z;Special topics, A-Z;Medicina general. Profesiones de la salud
W 26.55.A5;Algoritmos;Algorithms;Medicina general. Profesiones de la salud
W 26.55.A7;Inteligencia artificial;Artificial intelligence;Medicina general. Profesiones de la salud
W 26.55.A9;Tratamiento electrónico de datos;Electronic data processing;Medicina general. Profesiones de la salud
W 26.55.C5;Computación en la nube;Cloud computing;Medicina general. Profesiones de la salud
W 26.55.C58;Seguridad informática;Computer security;Medicina general. Profesiones de la salud
W 26.55.C6;Simulación por computadora. Visualización de datos.;Computer simulation. Data display;Medicina general. Profesiones de la salud
W 26.55.C7;Sistemas informáticos;Computer systems;Medicina general. Profesiones de la salud
W 26.55.D13;Ciencia de datos;Data science;Medicina general. Profesiones de la salud
W 26.55.D14;Visualización de datos;Data visualization;Medicina general. Profesiones de la salud
W 26.55.D17;Sistemas de gestión de bases de datos;Database management systems;Medicina general. Profesiones de la salud
W 26.55.D2;Toma de decisiones asistida por computadora. Técnicas de apoyo a la toma de decisiones.;Decision making, Computer-assisted. Decision support techniques;Medicina general. Profesiones de la salud
W 26.55.D4;Tecnología digital;Digital technology;Medicina general. Profesiones de la salud
W 26.55.I2;Procesamiento de imágenes asistido por computadora;Image processing, Computer-assisted;Medicina general. Profesiones de la salud
W 26.55.I3;Gestión de la información;Information management;Medicina general. Profesiones de la salud
W 26.55.I35;Almacenamiento y recuperación de información;Information storage and retrieval;Medicina general. Profesiones de la salud
W 26.55.I4;Sistemas de información;Information systems;Medicina general. Profesiones de la salud
W 26.55.M2;aprendizaje automático;Machine learning;Medicina general. Profesiones de la salud
W 26.55.M25;Computación matemática;Mathematical computing;Medicina general. Profesiones de la salud
W 26.55.M4;Aplicaciones de la informática médica;Medical informatics applications;Medicina general. Profesiones de la salud
W 26.55.S4;Procesamiento de señales asistido por computadora;Signal processing, Computer-assisted;Medicina general. Profesiones de la salud
W 26.55.S6;Software;Software;Medicina general. Profesiones de la salud
W 26.55.S9;Análisis de sistemas;Systems analysis;Medicina general. Profesiones de la salud
W 26.55.T4;Telecomunicaciones;Telecommunications;Medicina general. Profesiones de la salud
[W 26.55.V6];[Este número no se utiliza];[This number not used];Medicina general. Profesiones de la salud
W 27;Museos colectivos, exposiciones, etc.;Collective museums, exhibitions, etc.;Medicina general. Profesiones de la salud
W 28;Museos individuales, exposiciones, etc.;Individual museums, exhibitions, etc.;Medicina general. Profesiones de la salud
W 32;Leyes (Generales);Laws (General);Medicina general. Profesiones de la salud
W 32.1;Cobertura general;General coverage;Medicina general. Profesiones de la salud
W 32.5;Discusión jurídica. Jurisprudencia médica (General);Discussion of law. Medical jurisprudence (General);Medicina general. Profesiones de la salud
W 32.6;Cobertura general;General coverage;Medicina general. Profesiones de la salud
W 33;Leyes y discusión de las leyes que rigen la práctica médica;Laws and discussion of laws governing medical practice;Medicina general. Profesiones de la salud
W 33.1;Cobertura general;General coverage;Medicina general. Profesiones de la salud
[W 39];[Este número no se utiliza];[This number not used];Medicina general. Profesiones de la salud
W 40;Licencia;Licensure;Medicina general. Profesiones de la salud
W 40.1;Cobertura general;General coverage;Medicina general. Profesiones de la salud
W 44;Negligencia. Responsabilidad;Malpractice. Liability;Medicina general. Profesiones de la salud
W 44.1;Cobertura general;General coverage;Medicina general. Profesiones de la salud
W 49;Manuales. Guías de recursos;Handbooks. Resource guides;Medicina general. Profesiones de la salud
W 50;Ética médica;Medical ethics;Medicina general. Profesiones de la salud
W 58;Publicidad;Advertising;Medicina general. Profesiones de la salud
W 61;Filosofía y lógica médica;Medical philosophy and logic;Medicina general. Profesiones de la salud
W 62;Relaciones interpersonales de los profesionales de la salud. Actitud (General);Health professionals' interpersonal relations. Attitude (General);Medicina general. Profesiones de la salud
W 64;Derivación y consulta (General);Referral and consultation (General);Medicina general. Profesiones de la salud
W 67;Accesibilidad a los servicios de salud;Health services accessibility;Medicina general. Profesiones de la salud
W 67.1;Cobertura general;General coverage;Medicina general. Profesiones de la salud
W 68;Derecho a la salud;Right to health;Medicina general. Profesiones de la salud
W 68.1;Cobertura general;General coverage;Medicina general. Profesiones de la salud
